algoritmo,iteracion,mejor_distancia_global,mejor_distancia_iteracion,media_distancias_validas,peor_distancia_valida,rutas_validas,n_hormigas,tiempo_iteracion,tiempo_total,tau_media,tau_min,tau_max,escenario,seed
AS,37,10.927393831312656,11.170359425246716,11.604511723387986,11.924911916255951,16,94,0.3804869002196938,14.746701900148764,0.20608000352060038,2.5759287058637278e-11,2.337789286979452,1,11
AS,38,10.927393831312656,11.020043462514877,11.588925112898533,12.529061127454042,13,94,0.3966003998648375,15.14334290008992,0.20203766224760875,1.2879643529318639e-11,2.2919326199855385,1,11
AS,39,10.927393831312656,11.325178526341915,11.749030485749245,12.233955219388008,12,94,0.3741695999633521,15.51755250012502,0.19110300838138766,6.4398217646593196e-12,2.1678889659793326,1,11
AS,40,10.927393831312656,11.356097914278507,11.709447144965331,12.722951531410217,15,94,0.42517569987103343,15.942768899956718,0.208595872616124,3.2199108823296598e-12,2.3663295226544925,1,11
AS,41,10.927393831312656,11.278343610465527,11.851778589627322,12.544012665748596,17,94,0.3756891000084579,16.31849900004454,0.2308498846599302,1.6099554411648299e-12,2.618780949619945,1,11
AS,42,10.927393831312656,11.268632754683495,11.825150878867134,12.734733939170837,16,94,0.4192444998770952,16.73785310005769,0.2348217653132814,8.049777205824149e-13,2.6638383054271624,1,11
AS,43,10.927393831312656,11.352341130375862,11.936269179205684,13.23892393708229,17,94,0.46285629994235933,17.20075049996376,0.24311849193335777,4.0248886029120747e-13,2.757957085906447,1,11
AS,44,10.927393831312656,11.23304844647646,11.709797588965067,12.358529787510633,13,94,0.42874569981358945,17.629580799955875,0.21947820753579989,2.0124443014560374e-13,2.4897796661298113,1,11
AS,45,10.927393831312656,11.508627492934465,11.872325033626772,12.47133507952094,11,94,0.4100110998842865,18.039630400016904,0.19145379054923475,1.0062221507280187e-13,2.1718682691327356,1,11
AS,46,10.927393831312656,11.241563223302364,11.666158951532383,12.050925005227327,13,94,0.40308489999733865,18.442755399970338,0.19399879496342248,5.0311107536400934e-14,2.200739018132921,1,11
AS,47,10.927393831312656,11.04667978733778,11.515945239790849,12.11028192192316,7,94,0.42580720013938844,18.868605399969965,0.15062498478654107,2.5155553768200467e-14,1.7087027844061968,1,11
AS,48,10.927393831312656,11.273429110646248,11.607395714148879,12.28065363317728,20,94,0.45214590011164546,19.320790600031614,0.22729393035327167,1.2577776884100234e-14,2.578441898093434,1,11
