escenario,algoritmo,seed,n_viewpoints,mejor_distancia,tiempo_total,iteraciones,estado
2,ACO_AS,18,72,11.221336245536804,87.57281089993194,100,OK
2,ACO_AS,19,72,11.398229025304317,88.25251549994573,100,OK
2,ACO_AS,20,72,11.39729642868042,84.65071109985001,100,OK
2,ACO_AS,21,72,11.313689894974232,87.27596659981646,100,OK
2,ACO_AS,22,72,11.280631184577942,86.49568039993756,100,OK
2,ACO_AS,23,72,11.375583618879318,87.600545699941,100,OK
2,ACO_AS,24,72,11.395227834582329,87.79601359996013,100,OK
2,ACO_AS,25,72,11.307471960783005,88.08687270013615,100,OK
2,ACO_AS,26,72,11.309092119336128,88.06344010005705,100,OK
2,ACO_AS,27,72,11.34197897464037,88.08359869988635,100,OK
2,ACO_AS,28,72,11.34682597965002,58.66959139984101,100,OK
2,ACO_AS,29,72,11.316333949565887,86.68002120009623,100,OK
2,ACO_AS,30,72,11.332295663654804,88.56456280010752,100,OK
